Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.08345565981191E-18,-3.46674454072399E-17,-0.415443814757444,0,0,0,52.6261060214922,1.98460895535759,-4.29338796016744E-18,1.12118087180101E-17,1.98464854792286,-1.90498176028434E-16,2.14793221352269,0,0,0,0,0,0,package://robot_with_gripper8/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/base_link.STL,,robot_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_arm_1,0.0102112642270262,0.0497887357729738,0.01,0,0,0,1.66549574268383,0.00204748802629827,-0.00031733979871691,-6.09863722023096E-20,0.00204748802629827,6.09863722023096E-20,0.00201310637424175,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_1.STL,,link1-1,Origin_joint_arm_1,Axis_joint_arm_1,joint_arm_1,continuous,0,0.01,0,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
link_arm_2,0.425,0.0479521392077195,1.25522866292093E-16,0,0,0,16.2134848604943,0.0174144669314187,-2.45150223603894E-17,-2.86226911134673E-16,1.18757968546763,1.60167941441756E-18,1.18778688850003,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_2.STL,,link2-1,Origin_joint_arm_2,Axis_joint_arm_2,joint_arm_2,continuous,0.04995,0.06,0.01,3.14159265358979,0,1.5707963267949,link_arm_1,0,1,0,,,,,,,,,,,,
link_arm_3,0.375001033067741,0.0499500565491348,1.40926564518826E-08,0,0,0,14.4958805139709,0.0157470475713186,-0.013042683343319,-5.31140089477955E-08,0.846103681283042,5.95523450835168E-08,0.846382857423772,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_3.STL,,link3-1,Origin_joint_arm_3,Axis_joint_arm_3,joint_arm_3,continuous,0.85,0,0,0,0,3.14159265358979,link_arm_2,0,1,0,,,,,,,,,,,,
link_arm_4,0.0557979256916667,0.0449730992840096,-1.62569094709651E-16,0,0,0,3.38316152603405,0.00387479415393967,-0.00109262381233315,5.87434023821623E-20,0.0111655995275477,6.50336489749628E-20,0.0112193873974905,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_4.STL,,link4-1,Origin_joint_arm_4,Axis_joint_arm_4,joint_arm_4,continuous,0.75,0.09995,0,3.14159265358979,0,3.14159265358979,link_arm_3,0,1,0,,,,,,,,,,,,
link_arm_5,0.010211264227026,-0.0397887357729738,-1.38777878078145E-17,0,0,0,1.66549574268383,0.00204748802629827,0.00031733979871691,-2.46875710098907E-20,0.00204748802629827,2.61953084223851E-20,0.00201310637424175,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_arm_5.STL,,link1-2,Origin_joint_arm_5,Axis_joint_arm_5,joint_arm_5,continuous,0.15,0.05,0,1.5707963267949,-1.5707963267949,0,link_arm_4,0,1,0,,,,,,,,,,,,
link_gripper_base,0,0.085172063756944,-1.38777878078145E-17,0,0,0,4.17469561621429,0.0106568078407958,6.99602596690303E-19,-2.02628723288863E-18,0.0113006453086544,6.30890306414592E-20,0.0156869078407958,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_base.STL,,gripper_base-1,Origin_joint_gripper_base,Axis_joint_gripper_base,joint_gripper_base,continuous,0.0499999999999999,-0.05,0,3.14159265358979,0,1.5707963267949,link_arm_5,0,1,0,,,,,,,,,,,,
link_gripper_gear,0,0.005,-1.38777878078145E-17,0,0,0,0.0137837377676252,1.0111387761427E-06,-2.54599758335775E-26,6.97933641841617E-22,1.79254858949165E-06,7.33453263144415E-23,1.0111387761427E-06,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_gear.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_gear.STL,,gripper_gear-1,Origin_joint_gripper_gear,Axis_joint_gripper_gear,joint_gripper_gear,continuous,0,0.15,0,3.14159265358979,0,3.14159265358979,link_gripper_base,0,1,0,,,,,,,,,,,,
link_gripper_pad1,0.00723684210526308,-0.00730263157894756,-0.0651973684210527,0,0,0,0.307799999999999,0.000822396019736841,9.9158388157895E-05,-4.99588815789484E-06,0.000259132944078947,-8.79476151315789E-05,0.000816142944078946,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_pad1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_pad1.STL,,gripper_pad-1,Origin_joint_gripper_pad1,Axis_joint_gripper_pad1,joint_gripper_pad1,prismatic,0,0.2,0,0,1.5707963267949,0,link_gripper_base,0,0,1,0,0,0,0.055,,,,,,,,
link_gripper_pad2,0.00723684210526321,0.0926973684210526,-0.0651973684210526,0,0,0,0.3078,0.000822396019736842,9.91583881578946E-05,-4.99588815789472E-06,0.000259132944078947,-8.79476151315791E-05,0.000816142944078947,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_pad2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://robot_with_gripper8/meshes/link_gripper_pad2.STL,,gripper_pad-2,Origin_joint_gripper_pad2,Axis_joint_gripper_pad2,joint_gripper_pad2,prismatic,0,0.1,0,0,-1.5708,15708,link_gripper_base,0,0,1,0,0,0,0.055,,,,,,,,
